Brand,Series,Consumption,EnergyClass,Colour,Weight,Diagonal,IsSmart,Resolution,Depth,Doors,HasFreezer,Height,Volume,Width,Type,Price
Xiaomi,series 5,92,A+,gray,20,108,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,598
Samsung,series 5,90,D,silver,20,214,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,728
HORIZON,series 4,99,C,yellow,20,123,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,228
Samsung,series 3,92,B,brown,21,60,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,287
Panasonic,series 3,95,A+,yellow,19,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,574
Sony,series 4,97,B,silver,20,214,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,338
Xiaomi,series 3,85,D,green,20,214,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,313
Sony,series 3,99,B,silver,22,80,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,231
Samsung,series 2,78,A+++,silver,22,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,391
HORIZON,series 6,97,A,yellow,19,80,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,244
Sony,series 1,90,B,brown,21,108,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,537
LG,series 5,78,D,silver,22,123,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,681
Sony,series 6,78,C,blue,22,80,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,326
Samsung,series 1,91,B,brown,23,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,330
Sony,series 4,85,D,gray,23,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,330
HORIZON,series 5,92,C,silver,23,60,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,500
LG,series 1,95,A,blue,19,123,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,589
HORIZON,series 2,91,B,gray,21,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,212
LG,series 4,91,D,gray,23,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,640
Philips,series 5,97,B,blue,20,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,578
Xiaomi,series 3,92,A+++,silver,22,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,326
Sony,series 6,99,C,silver,23,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,305
HORIZON,series 1,85,A++,red,21,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,217
HORIZON,series 5,78,C,yellow,21,123,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,587
Sony,series 2,91,A++,green,19,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,309
Xiaomi,series 4,99,A+++,yellow,19,80,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,254
Sony,series 3,97,D,yellow,19,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,309
LG,series 5,85,A+++,green,23,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,400
Xiaomi,series 2,95,A+,red,22,214,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,291
LG,series 4,92,D,yellow,19,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,579
Samsung,series 5,97,D,red,23,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,365
Panasonic,series 4,78,B,gray,20,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,333
Xiaomi,series 6,99,A++,gray,22,125,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,646
Samsung,series 3,80,A,brown,22,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,691
Sony,series 3,90,B,brown,23,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,255
Sony,series 4,90,A,blue,22,123,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,321
HORIZON,series 6,99,B,gray,19,125,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,594
LG,series 1,95,A+++,silver,22,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,341
Sony,series 6,97,A+++,blue,21,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,377
HORIZON,series 3,80,A+,gray,19,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,299
LG,series 4,95,A,gray,22,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,386
Samsung,series 6,78,A++,green,19,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,729
Philips,series 6,90,A+++,brown,20,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,418
Panasonic,series 6,92,D,brown,22,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,336
LG,series 3,91,A+++,red,20,108,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,633
Xiaomi,series 4,90,A+++,gray,19,123,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,619
Sony,series 1,78,A+++,red,22,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,291
HORIZON,series 5,97,A++,red,22,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,291
Panasonic,series 1,95,C,yellow,22,123,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,496
HORIZON,series 2,91,B,silver,21,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,252
Philips,series 3,91,A,silver,23,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,575
Philips,series 2,80,B,blue,21,60,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,547
LG,series 5,92,D,blue,23,108,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,635
Xiaomi,series 3,95,B,silver,23,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,540
Philips,series 2,80,A+++,silver,19,60,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,269
HORIZON,series 5,95,C,red,22,108,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,236
HORIZON,series 2,95,D,silver,23,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,170
LG,series 3,95,A+++,red,21,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,342
Panasonic,series 3,95,A++,red,20,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,538
LG,series 1,90,A+,silver,21,123,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,607
LG,series 1,92,D,red,21,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,277
Samsung,series 2,92,D,blue,22,214,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,656
HORIZON,series 2,95,A,blue,22,125,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,226
Sony,series 6,85,D,brown,23,60,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,290
Sony,series 3,97,C,yellow,21,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,292
Panasonic,series 1,91,A+++,yellow,22,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,551
Panasonic,series 4,95,B,silver,23,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,240
Samsung,series 6,91,A+++,brown,19,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,694
Sony,series 5,78,A,brown,22,214,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,396
Samsung,series 2,92,C,red,21,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,262
Xiaomi,series 1,97,A+++,yellow,22,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,256
Sony,series 2,97,A,silver,20,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,603
HORIZON,series 5,92,C,green,23,123,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,560
Samsung,series 4,92,D,green,20,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,618
Xiaomi,series 4,90,A,silver,21,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,642
Philips,series 3,90,A,silver,22,125,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,641
Philips,series 4,85,D,silver,19,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,274
Sony,series 1,92,D,silver,22,60,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,476
Samsung,series 3,80,C,brown,19,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,664
LG,series 1,97,A,silver,19,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,524
Panasonic,series 6,80,A,brown,20,80,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,593
LG,series 5,85,A+,silver,23,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,710
Xiaomi,series 4,97,B,blue,19,108,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,559
LG,series 4,85,A++,yellow,21,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,697
LG,series 4,99,A,red,20,60,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,578
Xiaomi,series 4,99,B,gray,21,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,292
Panasonic,series 1,85,C,red,22,80,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,476
Philips,series 4,91,B,red,21,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,332
Samsung,series 3,92,A++,brown,21,108,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,342
Samsung,series 5,99,A,yellow,22,80,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,336
Panasonic,series 4,95,A+++,blue,19,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,284
Samsung,series 1,78,B,brown,19,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,574
Sony,series 3,85,A,silver,22,123,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,606
Panasonic,series 2,99,D,silver,22,125,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,521
Samsung,series 2,91,C,blue,21,60,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,267
Xiaomi,series 5,99,B,yellow,22,60,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,531
Philips,series 1,97,C,gray,20,214,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,593
Samsung,series 4,91,A+,red,20,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,703
Xiaomi,series 2,97,D,brown,21,60,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,467
Xiaomi,series 3,97,A,silver,21,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,582
HORIZON,series 5,99,B,red,22,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,511
Panasonic,series 1,95,A+++,silver,21,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,202
Panasonic,series 5,85,D,yellow,20,60,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,233
HORIZON,series 5,85,A+++,red,22,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,261
Philips,series 6,80,D,green,19,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,399
Xiaomi,series 4,90,A,gray,19,108,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,284
Xiaomi,series 5,85,A+++,red,21,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,602
Panasonic,series 4,85,A,gray,20,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,328
Philips,series 5,95,A+++,brown,22,214,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,401
Samsung,series 4,85,B,brown,21,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,402
LG,series 5,97,B,brown,23,125,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,675
LG,series 3,78,D,gray,22,108,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,321
Samsung,series 1,97,A+,blue,22,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,306
Xiaomi,series 5,85,A++,silver,21,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,637
Sony,series 3,91,A,blue,20,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,318
Xiaomi,series 2,91,A+,red,23,125,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,580
Panasonic,series 4,97,A+,green,22,214,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,606
HORIZON,series 3,80,A+++,brown,22,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,506
Panasonic,series 3,97,B,brown,23,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,195
Sony,series 2,99,A,red,20,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,278
LG,series 4,80,D,silver,22,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,376
Philips,series 1,80,A+++,red,21,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,247
Samsung,series 6,99,D,silver,19,214,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,724
Samsung,series 3,92,A++,gray,20,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,363
LG,series 6,92,A+++,brown,23,125,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,725
Xiaomi,series 3,92,D,yellow,21,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,237
Sony,series 3,90,A++,yellow,21,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,272
LG,series 1,85,A+++,green,23,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,320
Panasonic,series 2,90,A+,gray,22,60,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,486
Samsung,series 2,95,A+,brown,22,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,591
Philips,series 2,90,A+++,green,22,108,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,296
Xiaomi,series 1,85,A++,red,21,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,537
HORIZON,series 5,99,C,yellow,19,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,269
Philips,series 1,91,D,silver,22,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,301
HORIZON,series 6,90,B,gray,19,214,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,339
HORIZON,series 1,95,C,yellow,19,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,499
LG,series 2,99,C,blue,22,60,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,226
Xiaomi,series 3,85,A+,blue,21,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,292
HORIZON,series 4,91,A+,red,21,60,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,202
Sony,series 5,85,A,gray,23,60,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,585
Philips,series 5,80,D,gray,22,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,356
Philips,series 1,80,C,red,20,214,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,323
Sony,series 4,95,A+,brown,20,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,633
Samsung,series 3,80,A+++,silver,23,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,665
Xiaomi,series 2,95,B,silver,20,60,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,483
Xiaomi,series 1,80,A+,gray,22,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,236
Xiaomi,series 1,78,C,red,20,108,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,528
HORIZON,series 4,92,A+,silver,21,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,557
Sony,series 2,78,A+++,brown,22,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,331
Xiaomi,series 6,99,A+++,blue,23,108,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,610
LG,series 6,95,A+++,yellow,21,125,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,422
Xiaomi,series 2,97,A++,green,20,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,273
Samsung,series 3,85,C,red,23,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,695
Xiaomi,series 4,92,A+++,brown,21,108,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,287
Panasonic,series 1,90,A+++,red,20,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,538
Philips,series 5,92,A,red,23,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,350
LG,series 5,90,A,green,21,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,662
HORIZON,series 1,91,C,red,21,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,507
HORIZON,series 3,95,D,yellow,20,80,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,473
Panasonic,series 4,92,A,gray,23,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,310
HORIZON,series 4,90,A+,silver,23,80,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,225
LG,series 1,80,B,silver,23,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,305
Samsung,series 5,92,A,yellow,23,80,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,350
Sony,series 3,92,B,gray,23,123,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,585
Xiaomi,series 6,97,A++,blue,22,60,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,271
LG,series 2,97,D,silver,21,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,607
HORIZON,series 4,95,A++,silver,21,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,517
LG,series 5,78,D,silver,23,125,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,700
LG,series 4,90,A+,blue,20,108,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,348
HORIZON,series 4,95,B,blue,19,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,584
LG,series 6,95,C,brown,20,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,398
HORIZON,series 4,92,B,yellow,23,123,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,245
HORIZON,series 4,80,B,yellow,21,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,267
Panasonic,series 2,90,A++,silver,19,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,534
Sony,series 4,90,D,yellow,22,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,246
Panasonic,series 2,85,B,silver,23,214,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,580
LG,series 3,97,A,silver,22,80,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,581
Philips,series 2,99,A++,silver,20,80,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,248
HORIZON,series 5,90,C,gray,19,125,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,294
Philips,series 3,95,B,green,21,214,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,642
HORIZON,series 3,95,C,silver,23,80,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,175
LG,series 2,80,A+++,silver,19,80,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,309
Philips,series 6,85,A,gray,20,60,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,628
Panasonic,series 6,78,A,yellow,19,60,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,279
HORIZON,series 4,99,A+,red,21,123,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,542
LG,series 2,97,D,yellow,23,80,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,245
Philips,series 3,92,D,green,21,60,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,537
Philips,series 4,78,A++,red,20,123,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,368
Sony,series 5,90,A,yellow,23,123,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,340
HORIZON,series 3,80,A,red,21,80,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,512
Sony,series 2,99,A+,yellow,19,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,284
Sony,series 3,80,C,silver,23,214,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,640
Sony,series 4,95,A,brown,20,123,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,608
HORIZON,series 2,90,A+++,brown,21,123,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,537
Philips,series 4,99,A+++,blue,23,123,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,330
Philips,series 5,99,A++,green,21,125,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,667
Xiaomi,series 2,97,C,gray,22,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,271
Samsung,series 5,99,A+,silver,22,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,321
Xiaomi,series 4,92,D,green,20,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,538
Xiaomi,series 2,97,A++,gray,21,80,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,212
Samsung,series 5,97,A++,yellow,23,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,650
LG,series 6,80,C,green,23,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,420
HORIZON,series 3,95,D,red,22,108,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,191
Panasonic,series 2,91,A,blue,23,60,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,175
Xiaomi,series 6,99,A,gray,20,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,338
LG,series 6,80,D,gray,23,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,695
LG,series 6,99,A+,green,19,60,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,624
Sony,series 1,92,D,yellow,21,125,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,557
Sony,series 1,91,B,red,20,123,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,553
Philips,series 1,85,B,brown,21,123,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,282
LG,series 4,95,A+++,blue,19,80,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,324
Xiaomi,series 5,99,D,red,22,108,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,561
Samsung,series 2,97,A++,silver,23,80,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,290
Philips,series 4,85,C,brown,23,125,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,355
Xiaomi,series 3,97,A+++,silver,19,123,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,279
LG,series 1,85,A++,red,21,80,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,577
Panasonic,series 2,90,B,blue,20,108,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,518
Xiaomi,series 3,92,B,brown,22,80,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,526
Sony,series 4,97,A+++,yellow,21,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,277
Philips,series 4,78,D,silver,23,125,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,360
HORIZON,series 1,99,A+++,red,23,123,true,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,490
LG,series 5,85,A++,blue,22,214,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,736
LG,series 5,97,D,green,21,214,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,387
HORIZON,series 1,85,A+,red,19,123,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,514
Samsung,series 4,99,B,green,22,214,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,391
Xiaomi,series 6,99,A+++,brown,22,60,true,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,571
Xiaomi,series 4,99,D,yellow,21,80,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,222
LG,series 4,78,A+++,blue,19,108,false,8K,NULL,NULL,NULL,NULL,NULL,NULL,Television,374
Philips,series 4,99,A,green,20,214,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,358
Xiaomi,series 5,80,A+++,gray,20,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,288
Panasonic,series 5,80,A++,silver,23,60,false,HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,260
Samsung,series 4,91,A,gray,22,125,false,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,396
HORIZON,series 3,92,A+,gray,22,60,false,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,176
Sony,series 6,80,B,red,19,125,true,4K,NULL,NULL,NULL,NULL,NULL,NULL,Television,689
Philips,series 1,90,A,red,21,80,true,Full HD,NULL,NULL,NULL,NULL,NULL,NULL,Television,542
